City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Mirante Do Paranapanema,BR,2021-07-27 22:10:52,-22.2919,-51.9064,60.3,69,70,18.37
272,Asyut,EG,2021-07-27 22:10:52,27.181,31.1837,85.1,23,0,9.78
273,Buraydah,SA,2021-07-27 22:10:52,26.326,43.975,93.9,15,2,10.31
274,Half Moon Bay,US,2021-07-27 22:10:53,37.4636,-122.4286,97.92,66,20,10.36
275,Krasnyy Chikoy,RU,2021-07-27 22:10:53,50.3643,108.7512,54.55,93,20,2.1
276,Cayenne,GF,2021-07-27 22:10:54,4.9333,-52.3333,82.44,85,75,5.01
277,Amuntai,ID,2021-07-27 22:10:54,-2.4177,115.2494,73.33,98,80,0.6
278,Dunmore Town,BS,2021-07-27 22:10:55,25.5,-76.65,84.22,70,1,5.19
279,Buala,SB,2021-07-27 22:10:55,-8.145,159.5921,81.46,80,94,10.42
280,Souillac,MU,2021-07-27 22:10:55,-20.5167,57.5167,68.36,87,100,16.44
281,Colares,PT,2021-07-27 22:10:56,38.7992,-9.4469,68.29,74,0,17.0
282,Okha,RU,2021-07-27 22:10:56,53.5739,142.9478,68.14,87,96,4.68
283,Georgetown,MY,2021-07-27 22:10:56,5.4112,100.3354,82.89,84,20,1.01
284,Aykhal,RU,2021-07-27 22:10:57,66.0,111.5,77.41,48,22,3.33
285,Dutlwe,BW,2021-07-27 22:10:57,-23.9833,23.9,47.97,43,0,6.8
286,Stokmarknes,NO,2021-07-27 22:10:57,68.5646,14.9108,62.49,95,18,5.57
287,Aranda De Duero,ES,2021-07-27 22:10:58,41.6704,-3.6892,65.66,61,46,2.89
288,Acarau,BR,2021-07-27 22:10:58,-2.8856,-40.12,78.58,78,34,16.11
289,Heyang,CN,2021-07-27 22:10:59,26.1011,107.473,68.67,91,18,2.55
290,Anandnagar,IN,2021-07-27 22:10:59,27.1,83.2833,80.11,91,95,6.64
291,Nizhniy Tsasuchey,RU,2021-07-27 22:10:59,50.5167,115.1333,59.85,83,9,2.28
